"現住人口之年齡分配-年 依 年底別, 鄉鎮市別, 性別 與 指標"

" "," "," "," 全年齡"," 0─4歲"," 5─9歲"," 10─14歲"," 15─19歲"," 20─24歲"," 25─29歲"," 30─34歲"," 35─39歲"," 40─44歲"," 45─49歲"," 50─54歲"," 55─59歲"," 60─64歲"," 65─69歲"," 70─74歲"," 75─79歲"," 80─84歲"," 85─89歲"," 90─94歲"," 95─99歲"," 100歲以上"
" "," "," 女",7126,629,557,452,627,720,557,473,602,569,469,343,224,262,221,177,151,63,22,7,1,-
" 民國91年底"
" "," 合計"
" "," "," 合計",541292,32712,37241,37818,40656,47948,42109,41177,43094,43502,38181,31699,20774,23597,20875,17929,11975,6376,2649,836,127,17
" "," "," 男",282173,16978,19157,19791,20957,24706,22024,22159,23526,23434,20398,16722,10578,11933,10378,9051,6013,2871,1108,329,53,7
" "," "," 女",259119,15734,18084,18027,19699,23242,20085,19018,19568,20068,17783,14977,10196,11664,10497,8878,5962,3505,1541,507,74,10
" "," 南投市"
" "," "," 合計",105061,5785,7914,8850,8764,9596,7739,7547,8259,8816,7596,6146,3695,3921,3388,3008,2152,1194,481,176,30,4
" "," "," 男",53447,2961,4069,4713,4474,4961,3982,3854,4072,4370,3860,3115,1817,1855,1640,1574,1191,606,241,76,15,1
" "," "," 女",51614,2824,3845,4137,4290,4635,3757,3693,4187,4446,3736,3031,1878,2066,1748,1434,961,588,240,100,15,3
" "," 埔里鎮"
" "," "," 合計",87417,5081,6150,6185,6384,7671,6841,6738,7160,7206,6447,5281,3514,3594,3110,2703,1921,935,372,102,17,5
" "," "," 男",44851,2673,3116,3212,3272,3922,3522,3477,3754,3743,3271,2674,1752,1821,1489,1437,1052,464,156,37,6,1
" "," "," 女",42566,2408,3034,2973,3112,3749,3319,3261,3406,3463,3176,2607,1762,1773,1621,1266,869,471,216,65,11,4
" "," 草屯鎮"
" "," "," 合計",98617,5908,7333,7535,7758,9162,7678,7632,7956,8024,7198,5761,3590,3902,3411,2698,1695,845,374,129,26,2
" "," "," 男",50389,3091,3746,3964,4031,4685,3916,3851,4081,4073,3727,3005,1883,1947,1747,1320,780,344,141,45,11,1
" "," "," 女",48228,2817,3587,3571,3727,4477,3762,3781,3875,3951,3471,2756,1707,1955,1664,1378,915,501,233,84,15,1
" "," 竹山鎮"
" "," "," 合計",60782,3647,3834,4007,4617,5699,5054,4561,4439,4532,4102,3767,2530,2911,2578,2055,1293,730,328,92,6,-
" "," "," 男",31688,1895,2004,2121,2376,2924,2746,2489,2438,2431,2147,1975,1292,1506,1281,1005,608,305,109,34,2,-
" "," "," 女",29094,1752,1830,1886,2241,2775,2308,2072,2001,2101,1955,1792,1238,1405,1297,1050,685,425,219,58,4,-
" "," 集集鎮"
" "," "," 合計",12328,813,822,687,736,907,892,1010,1002,940,730,729,483,720,658,524,346,200,95,29,5,-
" "," "," 男",6514,404,404,339,360,486,466,561,598,562,417,416,237,371,344,265,162,78,30,11,3,-
" "," "," 女",5814,409,418,348,376,421,426,449,404,378,313,313,246,349,314,259,184,122,65,18,2,-
" "," 名間鄉"
" "," "," 合計",42774,2794,2829,2708,3060,3631,3448,3373,3380,3338,2828,2417,1659,2017,1865,1534,952,594,252,84,10,1
" "," "," 男",22652,1474,1434,1422,1614,1867,1797,1843,1885,1953,1605,1259,858,1090,959,757,449,244,104,31,6,1
" "," "," 女",20122,1320,1395,1286,1446,1764,1651,1530,1495,1385,1223,1158,801,927,906,777,503,350,148,53,4,-
" "," 鹿谷鄉"
" "," "," 合計",20428,1181,1158,1127,1439,1742,1556,1450,1585,1693,1394,1177,803,1053,1010,942,590,332,153,38,4,1
" "," "," 男",10877,586,604,572,747,884,800,850,929,1025,829,654,407,569,474,442,289,132,59,22,2,1
" "," "," 女",9551,595,554,555,692,858,756,600,656,668,565,523,396,484,536,500,301,200,94,16,2,-
" "," 中寮鄉"
" "," "," 合計",17394,1180,859,841,1020,1249,1266,1425,1476,1375,1092,961,793,1013,983,791,571,316,135,43,5,-
" "," "," 男",9559,649,467,436,508,633,658,851,969,848,664,570,433,512,505,391,250,131,59,24,1,-
" "," "," 女",7835,531,392,405,512,616,608,574,507,527,428,391,360,501,478,400,321,185,76,19,4,-
" "," 魚池鄉"
" "," "," 合計",17806,1145,1017,904,1019,1466,1454,1313,1358,1351,1268,1116,797,941,845,832,513,308,110,41,6,2
" "," "," 男",9577,579,538,473,515,758,757,766,833,808,728,625,434,495,429,412,221,147,45,12,1,1
" "," "," 女",8229,566,479,431,504,708,697,547,525,543,540,491,363,446,416,420,292,161,65,29,5,1
" "," 國姓鄉"
" "," "," 合計",23136,1495,1368,1313,1484,1710,1772,1969,1978,1761,1558,1333,988,1253,1083,984,634,291,118,37,7,-
" "," "," 男",12743,771,722,691,783,882,985,1185,1297,1079,893,751,489,645,556,506,304,137,48,16,3,-
" "," "," 女",10393,724,646,622,701,828,787,784,681,682,665,582,499,608,527,478,330,154,70,21,4,-
" "," 水里鄉"
" "," "," 合計",22276,1161,1292,1333,1658,1963,1712,1649,1646,1698,1661,1320,907,1216,1017,952,603,325,120,40,2,1
" "," "," 男",11799,618,671,656,849,1061,927,967,950,934,904,703,457,594,502,466,311,156,61,11,-,1
" "," "," 女",10477,543,621,677,809,902,785,682,696,764,757,617,450,622,515,486,292,169,59,29,2,-
" "," 信義鄉"
" "," "," 合計",17761,1268,1517,1432,1539,1585,1425,1371,1459,1478,1172,810,535,572,518,470,344,185,59,15,6,1
" "," "," 男",9710,631,796,732,825,812,774,796,879,909,716,471,270,305,271,228,182,77,27,6,3,-
" "," "," 女",8051,637,721,700,714,773,651,575,580,569,456,339,265,267,247,242,162,108,32,9,3,1
" "," 仁愛鄉"
" "," "," 合計",15512,1254,1148,896,1178,1567,1272,1139,1396,1290,1135,881,480,484,409,436,361,121,52,10,3,-
" "," "," 男",8367,646,586,460,603,831,694,669,841,699,637,504,249,223,181,248,214,50,28,4,-,-
" "," "," 女",7145,608,562,436,575,736,578,470,555,591,498,377,231,261,228,188,147,71,24,6,3,-
" 民國92年底"
" "," 合計"
" "," "," 合計",540397,31566,35759,37291,39505,47650,42856,39837,42156,44140,39094,33303,21640,23140,21044,18100,12638,6797,2790,930,143,18
" "," "," 男",281528,16380,18411,19480,20330,24620,22433,21253,23009,23770,20857,17660,11082,11644,10523,9039,6357,3063,1174,378,59,6
