"現住人口之年齡分配-年 依 年底別, 鄉鎮市別, 性別 與 指標"

" "," "," "," 全年齡"," 0─4歲"," 5─9歲"," 10─14歲"," 15─19歲"," 20─24歲"," 25─29歲"," 30─34歲"," 35─39歲"," 40─44歲"," 45─49歲"," 50─54歲"," 55─59歲"," 60─64歲"," 65─69歲"," 70─74歲"," 75─79歲"," 80─84歲"," 85─89歲"," 90─94歲"," 95─99歲"," 100歲以上"
" "," "," 合計",16445,656,750,714,913,1020,1210,1066,1174,1403,1408,1166,1002,794,936,861,686,413,198,70,5,-
" "," "," 男",8960,342,397,384,485,498,642,565,676,901,856,695,609,430,453,424,335,166,76,24,2,-
" "," "," 女",7485,314,353,330,428,522,568,501,498,502,552,471,393,364,483,437,351,247,122,46,3,-
" "," 魚池鄉"
" "," "," 合計",17344,703,847,879,1033,1089,1339,1312,1177,1347,1367,1299,1150,797,863,764,697,421,201,40,19,-
" "," "," 男",9218,369,447,455,531,528,705,683,652,803,797,736,645,429,450,366,336,170,89,19,8,-
" "," "," 女",8126,334,400,424,502,561,634,629,525,544,570,563,505,368,413,398,361,251,112,21,11,-
" "," 國姓鄉"
" "," "," 合計",21195,851,988,1133,1290,1388,1486,1478,1569,1811,1779,1580,1304,958,1091,978,798,471,187,46,9,-
" "," "," 男",11642,458,529,612,693,736,786,810,930,1177,1057,914,745,469,544,483,379,227,76,15,2,-
" "," "," 女",9553,393,459,521,597,652,700,668,639,634,722,666,559,489,547,495,419,244,111,31,7,-
" "," 水里鄉"
" "," "," 合計",20593,756,967,1131,1287,1522,1759,1359,1348,1507,1628,1673,1348,842,1091,891,769,465,190,49,9,2
" "," "," 男",10860,382,507,601,654,780,923,779,790,856,906,871,744,416,531,419,367,214,89,25,5,1
" "," "," 女",9733,374,460,530,633,742,836,580,558,651,722,802,604,426,560,472,402,251,101,24,4,1
" "," 信義鄉"
" "," "," 合計",17166,998,1015,1345,1461,1542,1493,1182,1221,1309,1422,1154,818,508,509,428,358,251,114,32,3,3
" "," "," 男",9332,518,515,703,745,828,786,675,705,788,843,683,462,246,257,226,170,122,47,10,2,1
" "," "," 女",7834,480,500,642,716,714,707,507,516,521,579,471,356,262,252,202,188,129,67,22,1,2
" "," 仁愛鄉"
" "," "," 合計",15451,1103,938,895,1093,1154,1387,1229,1075,1305,1301,1173,898,486,395,362,304,256,75,19,3,-
" "," "," 男",8174,555,489,454,556,593,753,683,611,747,702,623,502,239,173,153,161,143,28,8,1,-
" "," "," 女",7277,548,449,441,537,561,634,546,464,558,599,550,396,247,222,209,143,113,47,11,2,-
" 民國98年底"
" "," 合計"
" "," "," 合計",530824,21246,27402,33930,37801,37945,44548,40515,36478,40458,43324,39678,34086,22340,20733,19249,15233,9958,4314,1279,272,35
" "," "," 男",273596,10997,14220,17545,19667,19583,22932,21174,18965,21676,23013,20826,17895,11245,10214,9257,7267,4708,1809,486,102,15
" "," "," 女",257228,10249,13182,16385,18134,18362,21616,19341,17513,18782,20311,18852,16191,11095,10519,9992,7966,5250,2505,793,170,20
" "," 南投市"
" "," "," 合計",104670,3919,5615,7819,8147,8046,9284,7788,6811,7794,8456,7908,6654,4091,3586,3207,2554,1831,852,237,62,9
" "," "," 男",52703,2091,2935,4014,4305,4167,4780,4021,3349,3803,4134,3920,3331,2004,1664,1487,1213,934,409,113,24,5
" "," "," 女",51967,1828,2680,3805,3842,3879,4504,3767,3462,3991,4322,3988,3323,2087,1922,1720,1341,897,443,124,38,4
" "," 埔里鎮"
" "," "," 合計",85779,3244,4588,5975,5992,5857,6915,6570,6172,6611,7141,6613,5694,3717,3203,2820,2215,1608,622,181,36,5
" "," "," 男",43303,1603,2408,3044,3074,2997,3564,3319,3067,3387,3648,3332,2809,1883,1566,1309,1085,825,299,70,12,2
" "," "," 女",42476,1641,2180,2931,2918,2860,3351,3251,3105,3224,3493,3281,2885,1834,1637,1511,1130,783,323,111,24,3
" "," 草屯鎮"
" "," "," 合計",100294,4164,5485,6761,7666,7353,8831,8042,7102,7748,8112,7349,6371,3988,3474,3193,2426,1463,550,179,30,7
" "," "," 男",50764,2125,2813,3499,3978,3822,4513,4118,3532,3918,4099,3674,3307,2009,1720,1564,1161,631,213,56,12,-
" "," "," 女",49530,2039,2672,3262,3688,3531,4318,3924,3570,3830,4013,3675,3064,1979,1754,1629,1265,832,337,123,18,7
" "," 竹山鎮"
" "," "," 合計",58826,2307,2978,3484,3887,4200,5151,4775,3994,4194,4569,4164,3909,2734,2565,2374,1797,1070,477,160,34,3
" "," "," 男",30407,1181,1538,1825,2039,2196,2644,2541,2134,2278,2485,2150,2002,1371,1289,1169,850,473,179,51,10,2
" "," "," 女",28419,1126,1440,1659,1848,2004,2507,2234,1860,1916,2084,2014,1907,1363,1276,1205,947,597,298,109,24,1
" "," 集集鎮"
" "," "," 合計",12103,463,579,637,783,748,918,876,897,946,998,831,700,570,586,624,472,276,143,52,2,2
" "," "," 男",6361,256,297,325,390,376,461,459,484,564,552,490,389,290,289,305,239,126,53,14,1,1
" "," "," 女",5742,207,282,312,393,372,457,417,413,382,446,341,311,280,297,319,233,150,90,38,1,1
" "," 名間鄉"
" "," "," 合計",41603,1712,2087,2413,2910,2928,3400,3178,2919,3263,3314,2927,2544,1779,1758,1714,1382,820,395,126,33,1
" "," "," 男",21855,904,1098,1249,1501,1505,1745,1652,1571,1815,1892,1623,1372,877,953,878,644,381,133,47,14,1
" "," "," 女",19748,808,989,1164,1409,1423,1655,1526,1348,1448,1422,1304,1172,902,805,836,738,439,262,79,19,-
" "," 鹿谷鄉"
" "," "," 合計",19376,712,737,907,1224,1356,1544,1403,1190,1389,1689,1551,1290,875,913,933,800,550,236,59,15,3
" "," "," 男",10294,376,370,473,628,691,797,771,677,798,964,904,747,451,463,454,367,243,92,22,3,3
" "," "," 女",9082,336,367,434,596,665,747,632,513,591,725,647,543,424,450,479,433,307,144,37,12,-
" "," 中寮鄉"
" "," "," 合計",16405,592,702,718,898,1001,1207,1108,1094,1401,1402,1238,1061,803,886,892,681,415,213,80,12,1
" "," "," 男",8914,317,366,402,469,486,610,586,621,880,855,747,644,437,427,447,321,181,84,30,3,1
" "," "," 女",7491,275,336,316,429,515,597,522,473,521,547,491,417,366,459,445,360,234,129,50,9,-
" "," 魚池鄉"
" "," "," 合計",17411,659,790,881,1050,1051,1308,1352,1186,1309,1409,1325,1238,827,819,789,701,432,225,42,17,1
" "," "," 男",9208,342,425,451,541,533,663,686,640,771,808,752,705,448,420,379,338,186,93,18,9,-
" "," "," 女",8203,317,365,430,509,518,645,666,546,538,601,573,533,379,399,410,363,246,132,24,8,1
" "," 國姓鄉"
" "," "," 合計",20964,740,925,1070,1307,1307,1464,1446,1495,1782,1830,1611,1386,1007,1033,1001,785,515,202,48,9,1
" "," "," 男",11477,398,488,580,713,697,764,796,856,1137,1088,953,801,509,509,472,377,244,75,18,2,-
" "," "," 女",9487,342,437,490,594,610,700,650,639,645,742,658,585,498,524,529,408,271,127,30,7,1
" "," 水里鄉"
" "," "," 合計",20383,666,919,1088,1262,1446,1681,1444,1309,1502,1614,1695,1436,865,1022,910,768,484,200,57,13,2
" "," "," 男",10696,335,470,574,652,738,861,820,750,868,895,904,788,416,488,425,362,219,96,27,8,-
" "," "," 女",9687,331,449,514,610,708,820,624,559,634,719,791,648,449,534,485,406,265,104,30,5,2
" "," 信義鄉"
" "," "," 合計",17360,981,1025,1261,1512,1532,1512,1256,1206,1296,1426,1256,871,536,493,430,363,244,118,37,5,-
" "," "," 男",9399,508,513,663,775,819,809,706,676,756,850,742,489,265,244,227,171,122,51,12,1,-
" "," "," 女",7961,473,512,598,737,713,703,550,530,540,576,514,382,271,249,203,192,122,67,25,4,-
" "," 仁愛鄉"
" "," "," 合計",15650,1087,972,916,1163,1120,1333,1277,1103,1223,1364,1210,932,548,395,362,289,250,81,21,4,-
" "," "," 男",8215,561,499,446,602,556,721,699,608,701,743,635,511,285,182,141,139,143,32,8,3,-
" "," "," 女",7435,526,473,470,561,564,612,578,495,522,621,575,421,263,213,221,150,107,49,13,1,-
" 民國99年底"
" "," 合計"
" "," "," 合計",526491,19637,25204,33167,37281,37358,42874,41355,35264,39772,42779,40327,35563,24544,19576,19503,15421,10464,4682,1403,277,40
" "," "," 男",271053,10236,13091,17149,19309,19366,22093,21592,18321,21102,22670,21217,18601,12441,9672,9363,7281,4886,2019,522,107,15
" "," "," 女",255438,9401,12113,16018,17972,17992,20781,19763,16943,18670,20109,19110,16962,12103,9904,10140,8140,5578,2663,881,170,25
" "," 南投市"
" "," "," 合計",104083,3687,5205,7569,7914,8007,8946,8089,6717,7618,8429,7945,6918,4617,3419,3236,2599,1928,902,277,56,5
" "," "," 男",52368,1953,2773,3890,4137,4165,4605,4203,3327,3715,4096,3921,3458,2261,1610,1482,1211,961,443,131,23,3
" "," "," 女",51715,1734,2432,3679,3777,3842,4341,3886,3390,3903,4333,4024,3460,2356,1809,1754,1388,967,459,146,33,2
" "," 埔里鎮"
" "," "," 合計",85088,3020,4125,5934,5936,5807,6599,6639,5877,6556,7074,6738,5953,4021,3126,2858,2238,1652,695,195,36,9
" "," "," 男",42964,1533,2110,3039,3073,3017,3381,3386,2922,3332,3614,3393,2929,2043,1533,1353,1044,837,334,75,14,2
" "," "," 女",42124,1487,2015,2895,2863,2790,3218,3253,2955,3224,3460,3345,3024,1978,1593,1505,1194,815,361,120,22,7
" "," 草屯鎮"
" "," "," 合計",99674,3806,5030,6560,7623,7286,8517,8275,6882,7684,7886,7579,6723,4419,3234,3257,2463,1596,630,184,32,8
" "," "," 男",50413,1977,2600,3388,3939,3783,4367,4284,3407,3827,4003,3788,3458,2226,1627,1538,1192,687,252,58,12,-
" "," "," 女",49261,1829,2430,3172,3684,3503,4150,3991,3475,3857,3883,3791,3265,2193,1607,1719,1271,909,378,126,20,8
" "," 竹山鎮"
" "," "," 合計",58338,2160,2742,3507,3828,4027,4960,4880,3869,4208,4459,4174,4052,2992,2384,2415,1828,1146,501,166,35,5
" "," "," 男",30094,1074,1422,1838,2007,2106,2539,2579,2092,2257,2420,2168,2065,1501,1205,1189,878,491,197,53,10,3
" "," "," 女",28244,1086,1320,1669,1821,1921,2421,2301,1777,1951,2039,2006,1987,1491,1179,1226,950,655,304,113,25,2
" "," 集集鎮"
" "," "," 合計",11920,423,521,624,767,720,878,887,856,938,979,862,691,622,521,619,498,297,154,57,5,1
" "," "," 男",6263,232,277,315,387,353,443,460,450,559,544,509,382,325,258,296,263,132,59,17,2,-
" "," "," 女",5657,191,244,309,380,367,435,427,406,379,435,353,309,297,263,323,235,165,95,40,3,1
" "," 名間鄉"
" "," "," 合計",41218,1520,1909,2394,2889,2861,3263,3213,2819,3157,3351,3006,2642,1926,1699,1696,1421,868,403,150,28,3
" "," "," 男",21627,816,986,1244,1486,1469,1709,1639,1511,1760,1893,1685,1435,947,891,890,649,392,159,54,11,1
" "," "," 女",19591,704,923,1150,1403,1392,1554,1574,1308,1397,1458,1321,1207,979,808,806,772,476,244,96,17,2
" "," 鹿谷鄉"
" "," "," 合計",19100,629,669,849,1207,1337,1470,1426,1149,1320,1620,1585,1379,945,867,924,797,567,266,77,14,3
" "," "," 男",10147,338,343,434,617,684,763,773,656,764,905,920,804,490,441,463,358,255,111,22,3,3
" "," "," 女",8953,291,326,415,590,653,707,653,493,556,715,665,575,455,426,461,439,312,155,55,11,-
" "," 中寮鄉"
" "," "," 合計",16183,529,620,757,872,978,1129,1100,1044,1347,1422,1260,1109,847,805,927,687,431,228,76,13,2
" "," "," 男",8799,275,323,415,462,493,559,589,586,818,878,775,660,474,407,461,312,192,91,24,4,1
" "," "," 女",7384,254,297,342,410,485,570,511,458,529,544,485,449,373,398,466,375,239,137,52,9,1
" "," 魚池鄉"
" "," "," 合計",17181,579,718,868,1016,1016,1253,1345,1175,1262,1404,1340,1269,906,765,812,682,469,227,56,18,1
" "," "," 男",9060,305,376,451,530,520,635,657,619,738,800,763,728,501,388,391,333,203,89,23,9,1
" "," "," 女",8121,274,342,417,486,496,618,688,556,524,604,577,541,405,377,421,349,266,138,33,9,-
" "," 國姓鄉"
" "," "," 合計",20668,638,884,970,1302,1328,1424,1436,1400,1721,1841,1658,1414,1065,978,1022,781,526,217,49,12,2
" "," "," 男",11262,336,470,540,677,719,747,780,798,1066,1114,971,803,559,479,489,372,239,81,18,3,1
" "," "," 女",9406,302,414,430,625,609,677,656,602,655,727,687,611,506,499,533,409,287,136,31,9,1
" "," 水里鄉"
" "," "," 合計",20063,613,850,1054,1227,1382,1633,1491,1245,1445,1554,1700,1453,972,927,927,785,503,225,60,16,1
" "," "," 男",10526,321,437,544,632,702,849,832,703,834,873,903,807,477,430,446,354,238,106,27,11,-
" "," "," 女",9537,292,413,510,595,680,784,659,542,611,681,797,646,495,497,481,431,265,119,33,5,1
" "," 信義鄉"
" "," "," 合計",17314,973,970,1193,1517,1509,1530,1273,1138,1310,1396,1269,963,582,466,443,358,247,133,38,6,-
" "," "," 男",9361,515,503,611,766,814,805,706,643,751,798,779,539,302,230,218,183,126,57,13,2,-
" "," "," 女",7953,458,467,582,751,695,725,567,495,559,598,490,424,280,236,225,175,121,76,25,4,-
" "," 仁愛鄉"
" "," "," 合計",15661,1060,961,888,1183,1100,1272,1301,1093,1206,1364,1211,997,630,385,367,284,234,101,18,6,-
" "," "," 男",8169,561,471,440,596,541,691,704,607,681,732,642,533,335,173,147,132,133,40,7,3,-
" "," "," 女",7492,499,490,448,587,559,581,597,486,525,632,569,464,295,212,220,152,101,61,11,3,-
" 民國100年底"
" "," 合計"
" "," "," 合計",522807,18493,23520,31767,37180,37420,40120,40982,35571,38653,42477,41143,36171,27465,18755,19818,15411,10885,5030,1622,283,41
" "," "," 男",268979,9582,12153,16584,19163,19511,20885,21285,18458,20406,22516,21634,18877,13974,9269,9496,7200,5055,2175,627,113,16
" "," "," 女",253828,8911,11367,15183,18017,17909,19235,19697,17113,18247,19961,19509,17294,13491,9486,10322,8211,5830,2855,995,170,25
" "," 南投市"
" "," "," 合計",103687,3513,4932,7283,7778,8114,8351,8145,6886,7391,8327,8178,7053,5160,3316,3333,2621,1958,964,331,48,5
" "," "," 男",52137,1879,2602,3785,4011,4270,4346,4195,3418,3642,4033,4014,3542,2495,1571,1525,1204,945,481,155,22,2
" "," "," 女",51550,1634,2330,3498,3767,3844,4005,3950,3468,3749,4294,4164,3511,2665,1745,1808,1417,1013,483,176,26,3
" "," 埔里鎮"
" "," "," 合計",84596,2809,3919,5693,5969,5808,6174,6533,5847,6465,7029,6821,6069,4505,3106,2874,2262,1662,771,232,40,8
" "," "," 男",42674,1402,2018,2949,3037,3025,3212,3347,2909,3255,3587,3433,2980,2282,1524,1380,1009,829,379,100,15,2
" "," "," 女",41922,1407,1901,2744,2932,2783,2962,3186,2938,3210,3442,3388,3089,2223,1582,1494,1253,833,392,132,25,6
" "," 草屯鎮"
" "," "," 合計",99249,3581,4678,6200,7603,7397,7942,8298,6963,7508,7910,7751,6860,5006,3122,3320,2477,1670,701,217,37,8
" "," "," 男",50177,1850,2388,3248,3907,3853,4104,4267,3488,3729,4020,3843,3502,2556,1578,1537,1200,745,271,79,11,1
" "," "," 女",49072,1731,2290,2952,3696,3544,3838,4031,3475,3779,3890,3908,3358,2450,1544,1783,1277,925,430,138,26,7
" "," 竹山鎮"
" "," "," 合計",57988,2017,2532,3429,3816,3992,4582,4834,4017,4114,4404,4309,3987,3418,2222,2494,1850,1221,520,179,45,6
" "," "," 男",29887,999,1296,1794,2004,2106,2381,2502,2179,2202,2368,2283,2027,1722,1093,1223,892,530,208,59,15,4
" "," "," 女",28101,1018,1236,1635,1812,1886,2201,2332,1838,1912,2036,2026,1960,1696,1129,1271,958,691,312,120,30,2
" "," 集集鎮"
" "," "," 合計",11737,375,469,603,767,728,823,858,792,946,950,899,726,646,479,637,492,316,156,64,9,2
" "," "," 男",6142,190,247,308,404,346,414,449,404,555,533,522,407,350,234,308,241,149,55,21,5,-
" "," "," 女",5595,185,222,295,363,382,409,409,388,391,417,377,319,296,245,329,251,167,101,43,4,2
" "," 名間鄉"
" "," "," 合計",40966,1458,1785,2294,2913,2852,3070,3170,2868,3015,3329,3100,2667,2157,1591,1719,1426,935,428,161,27,1
" "," "," 男",21498,771,917,1228,1464,1491,1617,1623,1531,1656,1861,1767,1471,1074,814,893,666,421,171,50,12,-
" "," "," 女",19468,687,868,1066,1449,1361,1453,1547,1337,1359,1468,1333,1196,1083,777,826,760,514,257,111,15,1
" "," 鹿谷鄉"
" "," "," 合計",18947,603,606,805,1208,1291,1404,1403,1153,1281,1564,1636,1410,1066,810,939,795,579,296,79,15,4
" "," "," 男",10062,304,318,409,622,662,740,764,650,741,869,952,818,558,407,479,357,257,123,23,6,3
" "," "," 女",8885,299,288,396,586,629,664,639,503,540,695,684,592,508,403,460,438,322,173,56,9,1
" "," 中寮鄉"
" "," "," 合計",16005,479,548,773,865,961,1058,1066,1023,1279,1445,1288,1109,922,770,893,719,454,250,84,19,-
" "," "," 男",8705,242,284,427,460,492,531,559,567,775,888,785,662,522,405,435,337,200,95,32,7,-
" "," "," 女",7300,237,264,346,405,469,527,507,456,504,557,503,447,400,365,458,382,254,155,52,12,-
" "," 魚池鄉"
" "," "," 合計",16927,534,638,841,997,1036,1141,1291,1191,1212,1412,1326,1276,994,744,815,653,500,236,74,14,2
" "," "," 男",8927,291,329,445,512,534,575,649,610,692,818,752,737,538,387,405,307,214,94,29,9,-
" "," "," 女",8000,243,309,396,485,502,566,642,581,520,594,574,539,456,357,410,346,286,142,45,5,2
" "," 國姓鄉"
" "," "," 合計",20351,566,791,932,1311,1315,1351,1343,1379,1666,1870,1668,1465,1136,918,1047,721,570,225,66,8,3
" "," "," 男",11077,298,411,517,700,708,724,723,770,1002,1151,991,810,609,443,501,345,263,86,22,1,2
" "," "," 女",9274,268,380,415,611,607,627,620,609,664,719,677,655,527,475,546,376,307,139,44,7,1
" "," 水里鄉"
" "," "," 合計",19700,581,754,995,1259,1320,1518,1486,1184,1416,1512,1681,1493,1096,837,947,764,547,227,69,13,1
" "," "," 男",10321,300,375,517,666,685,790,820,669,815,852,896,800,543,413,443,347,249,101,31,8,1
" "," "," 女",9379,281,379,478,593,635,728,666,515,601,660,785,693,553,424,504,417,298,126,38,5,-
" "," 信義鄉"
" "," "," 合計",17059,916,908,1080,1526,1506,1487,1264,1138,1240,1365,1293,1012,659,446,427,361,255,130,45,1,-
" "," "," 男",9237,490,478,553,788,795,798,685,646,709,789,788,560,346,222,212,177,130,53,18,-,-
" "," "," 女",7822,426,430,527,738,711,689,579,492,531,576,505,452,313,224,215,184,125,77,27,1,-
" "," 仁愛鄉"
" "," "," 合計",15595,1061,960,839,1168,1100,1219,1291,1130,1120,1360,1193,1044,700,394,373,270,218,126,21,7,1
" "," "," 男",8135,566,490,404,588,544,653,702,617,633,747,608,561,379,178,155,118,123,58,8,2,1
" "," "," 女",7460,495,470,435,580,556,566,589,513,487,613,585,483,321,216,218,152,95,68,13,5,-
" 民國101年底"
" "," 合計"
" "," "," 合計",520196,18191,22101,30060,36895,37477,38032,41178,35603,38054,41184,42187,36850,29843,18462,19676,15694,11191,5440,1711,332,35
" "," "," 男",267300,9421,11415,15710,18975,19545,19888,21458,18383,19979,21837,22110,19175,15288,9116,9451,7234,5086,2423,671,122,13
" "," "," 女",252896,8770,10686,14350,17920,17932,18144,19720,17220,18075,19347,20077,17675,14555,9346,10225,8460,6105,3017,1040,210,22
" "," 南投市"
" "," "," 合計",103285,3454,4749,6875,7617,8135,7929,8304,6886,7265,8023,8367,7191,5718,3286,3351,2671,1992,1063,336,65,8
" "," "," 男",51884,1848,2529,3548,3901,4340,4102,4286,3448,3578,3881,4103,3570,2802,1563,1532,1203,924,529,168,25,4
" "," "," 女",51401,1606,2220,3327,3716,3795,3827,4018,3438,3687,4142,4264,3621,2916,1723,1819,1468,1068,534,168,40,4
" "," 埔里鎮"
" "," "," 合計",84300,2752,3640,5385,6098,5755,5895,6579,5816,6430,6784,6968,6147,4970,3087,2921,2287,1646,833,252,48,7
" "," "," 男",42374,1375,1814,2854,3088,2986,3069,3344,2901,3213,3446,3521,3042,2453,1515,1420,1016,774,408,114,19,2
" "," "," 女",41926,1377,1826,2531,3010,2769,2826,3235,2915,3217,3338,3447,3105,2517,1572,1501,1271,872,425,138,29,5
" "," 草屯鎮"
" "," "," 合計",99374,3509,4463,5922,7479,7551,7594,8366,7076,7422,7847,7908,6937,5472,3197,3306,2542,1725,798,209,46,5
" "," "," 男",50240,1862,2287,3111,3824,3926,3964,4328,3532,3683,3971,3888,3539,2770,1601,1555,1212,760,333,80,13,1
" "," "," 女",49134,1647,2176,2811,3655,3625,3630,4038,3544,3739,3876,4020,3398,2702,1596,1751,1330,965,465,129,33,4
" "," 竹山鎮"
" "," "," 合計",57560,1952,2367,3269,3813,3865,4304,4823,4057,4102,4268,4451,4028,3588,2215,2421,1964,1256,589,176,49,3
" "," "," 男",29626,955,1228,1692,1993,2053,2247,2492,2203,2167,2293,2364,2040,1826,1099,1200,909,549,245,53,16,2
" "," "," 女",27934,997,1139,1577,1820,1812,2057,2331,1854,1935,1975,2087,1988,1762,1116,1221,1055,707,344,123,33,1
" "," 集集鎮"
" "," "," 合計",11576,346,418,557,772,747,755,852,763,914,948,927,741,703,441,625,491,344,152,67,12,1
" "," "," 男",6048,174,212,276,394,375,368,462,396,516,544,526,419,389,207,307,237,161,56,22,7,-
" "," "," 女",5528,172,206,281,378,372,387,390,367,398,404,401,322,314,234,318,254,183,96,45,5,1
" "," 名間鄉"
" "," "," 合計",40682,1419,1606,2136,2890,2920,2931,3114,2870,2977,3191,3271,2706,2308,1522,1718,1427,1018,432,192,31,3
" "," "," 男",21386,725,836,1151,1473,1518,1547,1635,1507,1631,1771,1864,1511,1164,767,898,677,460,174,64,11,2
" "," "," 女",19296,694,770,985,1417,1402,1384,1479,1363,1346,1420,1407,1195,1144,755,820,750,558,258,128,20,1
" "," 鹿谷鄉"
" "," "," 合計",18878,600,584,742,1165,1268,1371,1408,1150,1284,1476,1669,1457,1183,786,911,797,613,296,101,14,3
" "," "," 男",10015,285,317,383,607,640,721,761,642,746,829,964,818,647,397,467,354,265,139,30,3,-
" "," "," 女",8863,315,267,359,558,628,650,647,508,538,647,705,639,536,389,444,443,348,157,71,11,3
" "," 中寮鄉"
" "," "," 合計",15901,535,497,710,880,963,951,1098,1009,1226,1403,1361,1135,956,723,859,750,479,257,85,24,-
" "," "," 男",8624,295,242,382,477,497,485,564,528,740,876,812,678,554,387,403,352,214,97,33,8,-
" "," "," 女",7277,240,255,328,403,466,466,534,481,486,527,549,457,402,336,456,398,265,160,52,16,-
" "," 魚池鄉"
" "," "," 合計",16747,537,586,763,1023,1038,1046,1284,1193,1197,1309,1356,1311,1078,715,796,631,527,260,82,14,1
" "," "," 男",8801,269,313,408,525,534,520,663,598,667,753,768,750,589,378,392,292,246,99,29,8,-
" "," "," 女",7946,268,273,355,498,504,526,621,595,530,556,588,561,489,337,404,339,281,161,53,6,1
" "," 國姓鄉"
" "," "," 合計",20165,559,707,922,1271,1326,1297,1302,1346,1634,1800,1726,1504,1228,889,1010,755,559,244,74,10,2
" "," "," 男",10968,294,370,504,685,702,718,688,734,977,1129,1011,828,681,426,486,355,254,97,26,2,1
" "," "," 女",9197,265,337,418,586,624,579,614,612,657,671,715,676,547,463,524,400,305,147,48,8,1
" "," 水里鄉"
" "," "," 合計",19341,539,698,949,1224,1273,1444,1454,1160,1361,1513,1611,1569,1168,784,953,743,577,237,69,13,2
" "," "," 男",10145,280,345,495,651,646,765,816,646,800,851,854,834,604,392,432,340,254,104,27,8,1
" "," "," 女",9196,259,353,454,573,627,679,638,514,561,662,757,735,564,392,521,403,323,133,42,5,1
" "," 信義鄉"
" "," "," 合計",16802,899,880,982,1493,1520,1386,1262,1149,1185,1308,1337,1039,703,431,436,348,255,140,47,2,-
" "," "," 男",9073,483,456,488,774,786,767,693,632,673,760,800,577,385,211,209,171,120,68,20,-,-
" "," "," 女",7729,416,424,494,719,734,619,569,517,512,548,537,462,318,220,227,177,135,72,27,2,-
" "," 仁愛鄉"
" "," "," 合計",15585,1090,906,848,1170,1116,1129,1332,1128,1057,1314,1235,1085,768,386,369,288,200,139,21,4,-
" "," "," 男",8116,576,466,418,583,542,615,726,616,588,733,635,569,424,173,150,116,105,74,5,2,-
" "," "," 女",7469,514,440,430,587,574,514,606,512,469,581,600,516,344,213,219,172,95,65,16,2,-
" 民國102年底"
" "," 合計"
" "," "," 合計",517222,17737,20987,28771,35335,37061,36987,41008,36144,36619,40410,42904,37883,31435,19310,19296,15810,11368,5895,1849,373,40
" "," "," 男",265474,9201,10812,15026,18174,19346,19302,21481,18713,19001,21420,22469,19668,16176,9549,9220,7338,5116,2580,733,134,15
" "," "," 女",251748,8536,10175,13745,17161,17715,17685,19527,17431,17618,18990,20435,18215,15259,9761,10076,8472,6252,3315,1116,239,25
" "," 南投市"
" "," "," 合計",102790,3362,4553,6598,7316,7885,7788,8332,7087,6995,7757,8512,7430,6079,3465,3317,2677,1998,1175,382,71,11
" "," "," 男",51599,1795,2406,3439,3742,4182,4065,4327,3594,3419,3762,4156,3694,2970,1659,1508,1213,886,565,183,31,3
" "," "," 女",51191,1567,2147,3159,3574,3703,3723,4005,3493,3576,3995,4356,3736,3109,1806,1809,1464,1112,610,199,40,8
" "," 埔里鎮"
" "," "," 合計",83701,2550,3489,5078,5971,5738,5666,6521,5913,6173,6659,7063,6324,5278,3194,2887,2314,1655,916,249,55,8
" "," "," 男",42054,1279,1745,2673,3038,3016,2912,3384,2947,3055,3376,3558,3160,2550,1585,1392,1045,763,437,115,22,2
" "," "," 女",41647,1271,1744,2405,2933,2722,2754,3137,2966,3118,3283,3505,3164,2728,1609,1495,1269,892,479,134,33,6
" "," 草屯鎮"
" "," "," 合計",99297,3409,4378,5643,7053,7543,7410,8388,7240,7260,7728,8101,7040,5875,3399,3255,2642,1782,848,245,54,4
" "," "," 男",50152,1819,2235,2947,3639,3893,3879,4356,3608,3593,3882,4016,3566,3004,1687,1514,1271,791,342,94,15,1
" "," "," 女",49145,1590,2143,2696,3414,3650,3531,4032,3632,3667,3846,4085,3474,2871,1712,1741,1371,991,506,151,39,3
" "," 竹山鎮"
" "," "," 合計",57101,1886,2168,3207,3639,3813,4091,4725,4139,3990,4223,4489,4130,3694,2371,2429,1920,1314,627,195,46,5
" "," "," 男",29354,929,1117,1639,1904,2014,2133,2465,2233,2101,2251,2412,2082,1867,1187,1199,900,582,256,66,15,2
" "," "," 女",27747,957,1051,1568,1735,1799,1958,2260,1906,1889,1972,2077,2048,1827,1184,1230,1020,732,371,129,31,3
" "," 集集鎮"
" "," "," 合計",11413,327,383,513,748,765,709,828,773,863,933,974,760,670,479,579,518,349,162,65,15,-
" "," "," 男",5965,163,195,263,377,390,352,443,406,465,544,542,432,381,229,279,240,173,62,24,5,-
" "," "," 女",5448,164,188,250,371,375,357,385,367,398,389,432,328,289,250,300,278,176,100,41,10,-
" "," 名間鄉"
" "," "," 合計",40382,1342,1500,2022,2775,2905,2852,3125,2802,2884,3184,3301,2821,2399,1592,1673,1443,1056,472,190,40,4
" "," "," 男",21193,693,777,1075,1406,1517,1502,1638,1488,1569,1754,1871,1549,1239,799,863,712,464,198,64,12,3
" "," "," 女",19189,649,723,947,1369,1388,1350,1487,1314,1315,1430,1430,1272,1160,793,810,731,592,274,126,28,1
" "," 鹿谷鄉"
" "," "," 合計",18667,583,536,688,1073,1246,1336,1398,1169,1208,1405,1717,1525,1235,804,879,801,605,324,118,14,3
" "," "," 男",9914,276,286,356,559,643,701,738,664,690,801,971,868,685,418,440,368,261,146,38,4,1
