"人口統計指標-月 依 期間, 鄉鎮市別 與 項目別"

" "," "," 土地面積(平方公里)"," 村里數"," 鄰數"," 現住戶數"," 現住人口數"," 現住人口數--男"," 現住人口數--女"," 遷入人數"," 遷出人數"," 社會增加率(0/00)"," 出生人數"," 死亡人數"," 自然增加率(0/00)"," 戶量(人／戶) "," 性比例(男／女)x 100"," 人口密度( 人／平方公里 )"," 0-14歲--人口數"," 0-14歲--占總人口比率(%)"," 15-64歲--人口數"," 15-64歲--占總人口比率(%)"," 65歲以上--人口數"," 65歲以上--占總人口比率(%)"
" "," 07新港鄉",66.0495,23,380,10635,32242,16979,15263,55,90,-1.08,9,34,-0.77,3.03,111.24,488.15,3636,11.28,22260,69.04,6346,19.68
" "," 08六腳鄉",62.2619,25,328,8912,23531,12511,11020,59,68,-0.38,10,33,-0.98,2.64,113.53,377.94,1714,7.28,15879,67.48,5938,25.23
" "," 09東石鄉",81.5821,23,357,9266,25108,13315,11793,61,58,0.12,13,33,-0.80,2.71,112.91,307.76,2200,8.76,17315,68.96,5593,22.28
" "," 10義竹鄉",79.2925,22,311,7443,18666,9706,8960,26,42,-0.86,6,21,-0.80,2.51,108.33,235.41,1296,6.94,12866,68.93,4504,24.13
" "," 11鹿草鄉",54.3151,15,255,5776,15676,8426,7250,29,38,-0.57,4,11,-0.45,2.71,116.22,288.61,1145,7.30,10680,68.13,3851,24.57
" "," 12水上鄉",69.1198,26,409,18073,49922,25760,24162,145,118,0.54,19,39,-0.40,2.76,106.61,722.25,4308,8.63,37648,75.41,7966,15.96
" "," 13中埔鄉",129.5016,22,375,15976,45190,23505,21685,114,133,-0.42,18,43,-0.55,2.83,108.39,348.95,4321,9.56,33717,74.61,7152,15.83
" "," 14竹崎鄉",162.2256,24,407,11711,36082,19245,16837,50,82,-0.89,19,36,-0.47,3.08,114.30,222.42,3441,9.54,25956,71.94,6685,18.53
" "," 15梅山鄉",119.7571,18,200,6758,19660,10477,9183,31,51,-1.02,11,20,-0.46,2.91,114.09,164.17,1784,9.07,13635,69.35,4241,21.57
" "," 16番路鄉",117.5269,11,115,4265,11672,6314,5358,33,27,0.51,6,8,-0.17,2.74,117.84,99.31,1075,9.21,8450,72.40,2147,18.39
" "," 17大埔鄉",173.2472,5,49,1946,4592,2381,2211,17,10,1.52,5,1,0.87,2.36,107.69,26.51,486,10.58,3423,74.54,683,14.87
" "," 18阿里山鄉",427.8471,12,78,1941,5633,2980,2653,7,11,-0.71,2,6,-0.71,2.90,112.33,13.17,762,13.53,4090,72.61,781,13.86

