"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"139","楠西區","7","123","3557","10186","5412","4774","102.12","臺南市"
"140","南化區","9","113","2856","8894","4842","4052","102.12","臺南市"
"141","左鎮區","10","110","1993","5211","2916","2295","102.12","臺南市"
"142","仁德區","18","501","26293","72444","36923","35521","102.12","臺南市"
"143","歸仁區","21","630","21714","67101","34114","32987","102.12","臺南市"
"144","關廟區","17","280","10843","35105","18171","16934","102.12","臺南市"
"145","龍崎區","8","95","1584","4310","2338","1972","102.12","臺南市"
"146","永康區","39","1288","80151","226875","112265","114610","102.12","臺南市"
"147","東區","45","1240","71910","191576","92277","99299","102.12","臺南市"
"148","南區","39","845","44335","125611","62597","63014","102.12","臺南市"
"149","北區","43","855","49366","132336","64828","67508","102.12","臺南市"
"150","安南區","51","944","58918","185412","93910","91502","102.12","臺南市"
"151","安平區","15","360","24266","64589","30850","33739","102.12","臺南市"
"152","中西區","38","752","30804","78498","38274","40224","102.12","臺南市"
"153","臺南市","752","14730","656402","1881645","945004","936641","101.12","臺南市"
"154","新營區","29","638","27905","78475","39029","39446","101.12","臺南市"
"155","鹽水區","25","326","10074","26695","13889","12806","101.12","臺南市"
"156","白河區","24","293","11034","30602","16036","14566","101.12","臺南市"
"157","柳營區","13","262","7824","22160","11575","10585","101.12","臺南市"
"158","後壁區","21","268","8940","25280","13176","12104","101.12","臺南市"
"159","東山區","16","311","8285","22529","11929","10600","101.12","臺南市"
"160","麻豆區","29","393","15311","45377","23150","22227","101.12","臺南市"
"161","下營區","15","271","9146","25612","13231","12381","101.12","臺南市"
"162","六甲區","12","231","7733","23346","12123","11223","101.12","臺南市"
"163","官田區","13","257","7717","21912","11198","10714","101.12","臺南市"
"164","大內區","10","145","4026","10537","5627","4910","101.12","臺南市"
"165","佳里區","21","409","19805","59289","29443","29846","101.12","臺南市"
"166","學甲區","13","330","9658","27414","14018","13396","101.12","臺南市"
"167","西港區","12","241","7948","25034","12701","12333","101.12","臺南市"
"168","七股區","23","315","8050","24225","12632","11593","101.12","臺南市"
"169","將軍區","18","304","7420","21005","10673","10332","101.12","臺南市"
"170","北門區","13","206","4393","12083","6116","5967","101.12","臺南市"
"171","新化區","20","253","13984","43940","22533","21407","101.12","臺南市"
"172","善化區","21","360","15424","44619","22484","22135","101.12","臺南市"
"173","新市區","11","263","11190","35187","17697","17490","101.12","臺南市"
"174","安定區","16","255","9558","30298","15656","14642","101.12","臺南市"
"175","山上區","7","85","2733","7696","4026","3670","101.12","臺南市"
"176","玉井區","10","175","5117","15058","7835","7223","101.12","臺南市"
"177","楠西區","7","124","3542","10272","5455","4817","101.12","臺南市"
"178","南化區","9","113","2830","8814","4818","3996","101.12","臺南市"
"179","左鎮區","10","110","1992","5294","2964","2330","101.12","臺南市"
"180","仁德區","18","497","25629","71270","36402","34868","101.12","臺南市"
"181","歸仁區","21","630","21296","66655","33935","32720","101.12","臺南市"
"182","關廟區","17","280","10811","35353","18316","17037","101.12","臺南市"
"183","龍崎區","8","95","1591","4325","2349","1976","101.12","臺南市"
"184","永康區","39","1288","78784","224303","111219","113084","101.12","臺南市"
