"","區域名","土地面積","里數","鄰數","戶數","每戶平均人口","人口數","男","女","性別比","人口密度","年月"
"75","安平區","11.0663","15","360","24836","2.63246899661781","65380","31065","34315","90.5289232114236","5908.02707318616","104.12"
"76","中西區","6.26","38","745","30771","2.51854018393942","77498","37691","39807","94.6843519983922","12379.8722044728","104.12"
"77","臺南市","2191.6531","752","14638","668013","2.82072953670063","1884284","944069","940215","100.409906244848","859.75467559168","103.12"
"78","新營區","38.5386","29","636","28426","2.75209315415465","78231","38800","39431","98.3997362481296","2029.93881459109","103.12"
"79","鹽水區","52.2455","25","324","10065","2.61520119225037","26322","13740","12582","109.203624225083","503.813725584022","103.12"
"80","白河區","126.4046","24","291","10978","2.70823465112042","29731","15569","14162","109.935037424093","235.20504791756","103.12"
"81","柳營區","61.2929","13","261","7843","2.78311870457733","21828","11376","10452","108.840413318025","356.126076592884","103.12"
"82","後壁區","72.2189","21","267","8887","2.76685045572184","24589","12805","11784","108.664290563476","340.478738945068","103.12"
"83","東山區","124.9178","16","310","8282","2.64670369475972","21920","11627","10293","112.960264257262","175.475392618186","103.12"
"84","麻豆區","53.9744","29","392","15450","2.91695792880259","45067","22912","22155","103.416835928684","834.969911661825","103.12"
"85","下營區","33.5291","15","271","9111","2.75139940730985","25068","12919","12149","106.337970203309","747.649057087724","103.12"
"86","六甲區","67.5471","12","231","7715","2.95942968243681","22832","11820","11012","107.337450054486","338.015991804237","103.12"
"87","官田區","70.7953","13","256","7796","2.78424833247819","21706","11100","10606","104.657740901377","306.602274444772","103.12"
"88","大內區","70.3125","10","145","3972","2.58006042296073","10248","5468","4780","114.393305439331","145.749333333333","103.12"
"89","佳里區","38.9422","21","409","20276","2.93613138686131","59533","29554","29979","98.5823409720137","1528.75286963757","103.12"
"90","學甲區","53.9919","13","323","9647","2.79351093604229","26949","13784","13165","104.701860995063","499.130425119323","103.12"
"91","西港區","33.7666","12","241","8044","3.0949776230731","24896","12610","12286","102.637147973303","737.29661855206","103.12"
"92","七股區","110.1492","23","312","8125","2.9056","23608","12279","11329","108.385559184394","214.327475823701","103.12"
"93","將軍區","41.9796","18","304","7339","2.80256165690149","20568","10455","10113","103.381785820231","489.952262527513","103.12"
"94","北門區","44.1003","13","205","4369","2.67589837491417","11691","5894","5797","101.673279282387","265.100237413351","103.12"
"95","新化區","62.0579","20","253","14203","3.08258818559459","43782","22385","21397","104.617469738748","705.502442074256","103.12"
"96","善化區","55.3097","21","352","16290","2.82995702885206","46100","23307","22793","102.255078313517","833.488520096837","103.12"
