"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"234","茄萣區","15","341","10164","31158","16246","14912","100.6","高雄市"
"235","永安區","6","81","5838","14211","7230","6981","100.6","高雄市"
"236","彌陀區","12","227","6654","20302","10537","9765","100.6","高雄市"
"237","梓官區","15","286","12141","36641","19046","17595","100.6","高雄市"
"238","旗山區","21","382","13848","39767","20697","19070","100.6","高雄市"
"239","美濃區","19","389","14235","42757","22320","20437","100.6","高雄市"
"240","六龜區","12","222","5774","14612","7913","6699","100.6","高雄市"
"241","甲仙區","7","103","2505","7089","3809","3280","100.6","高雄市"
"242","杉林區","7","138","4454","11932","6517","5415","100.6","高雄市"
"243","內門區","18","207","5036","15758","8608","7150","100.6","高雄市"
"244","茂林區","3","19","575","1848","930","918","100.6","高雄市"
"245","桃源區","8","39","1360","4761","2521","2240","100.6","高雄市"
"246","那瑪夏區","3","20","882","3343","1734","1609","100.6","高雄市"
"247","高雄市","893","17785","1030368","2772647","1388859","1383788","100.7","高雄市"
"248","鹽埕區","21","237","11145","27071","13564","13507","100.7","高雄市"
"249","鼓山區","38","722","52761","132183","64615","67568","100.7","高雄市"
"250","左營區","40","747","74541","192866","94756","98110","100.7","高雄市"
"251","楠梓區","37","803","62329","173472","86006","87466","100.7","高雄市"
"252","三民一","41","670","33297","85708","42795","42913","100.7","高雄市"
"253","三民二","45","1074","98995","266854","129585","137269","100.7","高雄市"
"254","新興區","32","459","22841","54742","26576","28166","100.7","高雄市"
"255","前金區","20","264","12542","28513","13867","14646","100.7","高雄市"
"256","苓雅區","69","1248","71901","182375","88674","93701","100.7","高雄市"
"257","前鎮區","59","1298","76790","198138","98327","99811","100.7","高雄市"
"258","旗津區","13","213","10984","29810","15472","14338","100.7","高雄市"
"259","小港區","38","697","63879","154537","77575","76962","100.7","高雄市"
"260","鳳山一","43","1145","66340","176024","87052","88972","100.7","高雄市"
"261","鳳山二","35","992","62220","167833","83946","83887","100.7","高雄市"
"262","林園區","24","525","24262","70228","36008","34220","100.7","高雄市"
"263","大寮區","25","829","38717","109104","56639","52465","100.7","高雄市"
"264","大樹區","18","376","13100","43685","22571","21114","100.7","高雄市"
"265","大社區","9","175","11838","33150","17027","16123","100.7","高雄市"
"266","仁武區","16","392","26662","73863","38083","35780","100.7","高雄市"
"267","鳥松區","7","192","16777","42976","21804","21172","100.7","高雄市"
"268","岡山區","33","540","33467","97165","48749","48416","100.7","高雄市"
"269","橋頭區","17","359","12834","36791","18828","17963","100.7","高雄市"
"270","燕巢區","11","289","10093","30920","16498","14422","100.7","高雄市"
"271","田寮區","10","154","3527","8093","4499","3594","100.7","高雄市"
"272","阿蓮區","12","276","9206","30265","15263","15002","100.7","高雄市"
"273","路竹區","20","395","16164","53615","27334","26281","100.7","高雄市"
"274","湖內區","14","260","9658","28762","14803","13959","100.7","高雄市"
"275","茄萣區","15","341","10168","31119","16226","14893","100.7","高雄市"
"276","永安區","6","81","5834","14165","7203","6962","100.7","高雄市"
"277","彌陀區","12","227","6651","20299","10534","9765","100.7","高雄市"
"278","梓官區","15","286","12128","36587","19010","17577","100.7","高雄市"
"279","旗山區","21","382","13860","39737","20670","19067","100.7","高雄市"
"280","美濃區","19","389","14262","42760","22336","20424","100.7","高雄市"
"281","六龜區","12","222","5775","14571","7892","6679","100.7","高雄市"
"282","甲仙區","7","103","2502","7079","3800","3279","100.7","高雄市"
"283","杉林區","7","138","4460","11921","6505","5416","100.7","高雄市"
"284","內門區","18","207","5042","15726","8591","7135","100.7","高雄市"
"285","茂林區","3","19","574","1850","930","920","100.7","高雄市"
"286","桃源區","8","39","1361","4758","2517","2241","100.7","高雄市"
"287","那瑪夏區","3","20","881","3332","1729","1603","100.7","高雄市"
"288","高雄市","893","17722","1031840","2772838","1388742","1384096","100.8","高雄市"
"289","鹽埕區","21","237","11139","26986","13513","13473","100.8","高雄市"
"290","鼓山區","38","722","52905","132393","64690","67703","100.8","高雄市"
"291","左營區","40","747","74635","192973","94771","98202","100.8","高雄市"
"292","楠梓區","37","803","62414","173477","85986","87491","100.8","高雄市"
"293","三民一","41","662","33318","85601","42735","42866","100.8","高雄市"
"294","三民二","45","1082","99131","266794","129614","137180","100.8","高雄市"
"295","新興區","32","456","22851","54663","26521","28142","100.8","高雄市"
"296","前金區","20","263","12547","28480","13864","14616","100.8","高雄市"
"297","苓雅區","69","1248","71962","182195","88552","93643","100.8","高雄市"
"298","前鎮區","59","1298","76815","197991","98230","99761","100.8","高雄市"
"299","旗津區","13","212","10986","29768","15469","14299","100.8","高雄市"
"300","小港區","38","697","63930","154472","77531","76941","100.8","高雄市"
"301","鳳山一","43","1113","66485","176180","87118","89062","100.8","高雄市"
"302","鳳山二","35","1007","62351","168089","84078","84011","100.8","高雄市"
"303","林園區","24","521","24342","70292","36044","34248","100.8","高雄市"
"304","大寮區","25","798","38766","109108","56620","52488","100.8","高雄市"
"305","大樹區","18","376","13113","43701","22583","21118","100.8","高雄市"
"306","大社區","9","175","11869","33202","17036","16166","100.8","高雄市"
"307","仁武區","16","390","26802","74123","38213","35910","100.8","高雄市"
"308","鳥松區","7","192","16828","43092","21845","21247","100.8","高雄市"
"309","岡山區","33","540","33500","97216","48750","48466","100.8","高雄市"
"310","橋頭區","17","359","12867","36805","18834","17971","100.8","高雄市"
"311","燕巢區","11","289","10125","30901","16505","14396","100.8","高雄市"
"312","田寮區","10","154","3524","8082","4487","3595","100.8","高雄市"
"313","阿蓮區","12","276","9207","30235","15251","14984","100.8","高雄市"
"314","路竹區","20","395","16173","53572","27319","26253","100.8","高雄市"
"315","湖內區","14","260","9680","28769","14798","13971","100.8","高雄市"
"316","茄萣區","15","339","10173","31090","16195","14895","100.8","高雄市"
"317","永安區","6","81","5829","14159","7201","6958","100.8","高雄市"
"318","彌陀區","12","227","6666","20297","10528","9769","100.8","高雄市"
"319","梓官區","15","286","12128","36604","19016","17588","100.8","高雄市"
"320","旗山區","21","381","13866","39637","20617","19020","100.8","高雄市"
"321","美濃區","19","389","14299","42759","22335","20424","100.8","高雄市"
"322","六龜區","12","221","5785","14546","7874","6672","100.8","高雄市"
"323","甲仙區","7","103","2505","7066","3786","3280","100.8","高雄市"
"324","杉林區","7","138","4458","11919","6506","5413","100.8","高雄市"
"325","內門區","18","207","5046","15705","8571","7134","100.8","高雄市"
"326","茂林區","3","19","576","1838","927","911","100.8","高雄市"
"327","桃源區","8","39","1361","4739","2509","2230","100.8","高雄市"
"328","那瑪夏區","3","20","883","3319","1720","1599","100.8","高雄市"
"329","高雄市","893","17670","1033956","2773157","1388639","1384518","100.9","高雄市"
"330","鹽埕區","21","237","11095","26815","13436","13379","100.9","高雄市"
"331","鼓山區","38","722","53086","132531","64755","67776","100.9","高雄市"
"332","左營區","40","747","74887","193189","94860","98329","100.9","高雄市"
"333","楠梓區","37","803","62573","173679","86088","87591","100.9","高雄市"
"334","三民一","41","662","33339","85443","42618","42825","100.9","高雄市"
"335","三民二","45","1082","99338","266800","129610","137190","100.9","高雄市"
"336","新興區","32","456","22879","54543","26444","28099","100.9","高雄市"
"337","前金區","20","263","12563","28469","13865","14604","100.9","高雄市"
"338","苓雅區","69","1248","72031","181965","88420","93545","100.9","高雄市"
"339","前鎮區","59","1298","76964","197956","98182","99774","100.9","高雄市"
"340","旗津區","13","212","10985","29799","15470","14329","100.9","高雄市"
"341","小港區","38","697","64081","154528","77581","76947","100.9","高雄市"
"342","鳳山一","43","1113","66618","176249","87096","89153","100.9","高雄市"
"343","鳳山二","35","1007","62521","168285","84147","84138","100.9","高雄市"
"344","林園區","24","521","24476","70340","36051","34289","100.9","高雄市"
"345","大寮區","25","747","38850","109115","56613","52502","100.9","高雄市"
"346","大樹區","18","376","13128","43696","22584","21112","100.9","高雄市"
"347","大社區","9","175","11888","33228","17036","16192","100.9","高雄市"
"348","仁武區","16","389","26952","74417","38374","36043","100.9","高雄市"
"349","鳥松區","7","192","16886","43132","21858","21274","100.9","高雄市"
"350","岡山區","33","540","33557","97245","48726","48519","100.9","高雄市"
"351","橋頭區","17","359","12867","36779","18816","17963","100.9","高雄市"
"352","燕巢區","11","289","10141","30900","16510","14390","100.9","高雄市"
"353","田寮區","10","154","3524","8066","4479","3587","100.9","高雄市"
"354","阿蓮區","12","276","9218","30224","15257","14967","100.9","高雄市"
"355","路竹區","20","395","16163","53489","27280","26209","100.9","高雄市"
"356","湖內區","14","260","9736","28848","14834","14014","100.9","高雄市"
"357","茄萣區","15","339","10182","31062","16178","14884","100.9","高雄市"
"358","永安區","6","81","5826","14118","7176","6942","100.9","高雄市"
"359","彌陀區","12","227","6670","20277","10517","9760","100.9","高雄市"
"360","梓官區","15","286","12125","36574","19011","17563","100.9","高雄市"
"361","旗山區","21","381","13869","39552","20573","18979","100.9","高雄市"
"362","美濃區","19","389","14306","42748","22328","20420","100.9","高雄市"
"363","六龜區","12","221","5790","14554","7881","6673","100.9","高雄市"
"364","甲仙區","7","103","2509","7042","3776","3266","100.9","高雄市"
"365","杉林區","7","138","4461","11911","6500","5411","100.9","高雄市"
"366","內門區","18","207","5043","15704","8568","7136","100.9","高雄市"
"367","茂林區","3","19","577","1835","920","915","100.9","高雄市"
"368","桃源區","8","39","1366","4740","2505","2235","100.9","高雄市"
"369","那瑪夏區","3","20","886","3310","1716","1594","100.9","高雄市"
"370","高雄市","893","17670","1034299","2773526","1388598","1384928","100.10","高雄市"
"371","鹽埕區","21","237","11069","26753","13402","13351","100.10","高雄市"
"372","鼓山區","38","722","53101","132629","64816","67813","100.10","高雄市"
"373","左營區","40","747","74862","193269","94873","98396","100.10","高雄市"
"374","楠梓區","37","803","62610","173790","86128","87662","100.10","高雄市"
"375","三民一","41","662","33329","85329","42570","42759","100.10","高雄市"
"376","三民二","45","1082","99333","266787","129570","137217","100.10","高雄市"
"377","新興區","32","456","22836","54445","26406","28039","100.10","高雄市"
"378","前金區","20","263","12545","28453","13857","14596","100.10","高雄市"
"379","苓雅區","69","1248","72018","181852","88380","93472","100.10","高雄市"
"380","前鎮區","59","1298","76950","197855","98118","99737","100.10","高雄市"
"381","旗津區","13","212","10992","29791","15451","14340","100.10","高雄市"
"382","小港區","38","697","64151","154651","77609","77042","100.10","高雄市"
"383","鳳山一","43","1113","66643","176383","87106","89277","100.10","高雄市"
"384","鳳山二","35","1007","62557","168389","84195","84194","100.10","高雄市"
"385","林園區","24","521","24529","70375","36063","34312","100.10","高雄市"
"386","大寮區","25","747","38907","109181","56662","52519","100.10","高雄市"
"387","大樹區","18","376","13127","43675","22549","21126","100.10","高雄市"
"388","大社區","9","175","11891","33258","17048","16210","100.10","高雄市"
"389","仁武區","16","389","27044","74645","38488","36157","100.10","高雄市"
"390","鳥松區","7","192","16891","43144","21866","21278","100.10","高雄市"
