"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"191"," 嘉義縣","357","5336","176398","543248","283284","259964","99.12","嘉義縣"
"192"," 太保市","18","250","11303","36685","18919","17766","99.12","嘉義縣"
"193"," 朴子市","27","414","14635","44093","22505","21588","99.12","嘉義縣"
"194"," 布袋鎮","23","375","10144","30216","15487","14729","99.12","嘉義縣"
"195"," 大林鎮","21","317","11209","33635","17263","16372","99.12","嘉義縣"
"196"," 民雄鄉","28","514","22813","72539","37236","35303","99.12","嘉義縣"
"197"," 溪口鄉","14","205","5385","16269","8674","7595","99.12","嘉義縣"
"198"," 新港鄉","23","380","10402","34676","18297","16379","99.12","嘉義縣"
"199"," 六腳鄉","25","328","9155","26379","13974","12405","99.12","嘉義縣"
"200"," 東石鄉","23","357","9512","27741","14745","12996","99.12","嘉義縣"
"201"," 義竹鄉","22","311","7477","21129","10937","10192","99.12","嘉義縣"
"202"," 鹿草鄉","15","255","5733","17232","9265","7967","99.12","嘉義縣"
"203"," 水上鄉","26","409","17410","52274","27004","25270","99.12","嘉義縣"
"204"," 中埔鄉","22","375","15289","47579","24818","22761","99.12","嘉義縣"
"205"," 竹崎鄉","24","407","11309","38608","20544","18064","99.12","嘉義縣"
"206"," 梅山鄉","18","200","6646","21634","11463","10171","99.12","嘉義縣"
"207"," 番路鄉","11","112","3948","11684","6367","5317","99.12","嘉義縣"
"208"," 大埔鄉","5","49","1962","4649","2447","2202","99.12","嘉義縣"
"209"," 阿里山鄉","12","78","2066","6226","3339","2887","99.12","嘉義縣"
"210"," 嘉義縣","357","5345","177906","537942","280416","257526","100.12","嘉義縣"
"211"," 太保市","18","250","11545","36673","18893","17780","100.12","嘉義縣"
"212"," 朴子市","27","414","14857","43895","22343","21552","100.12","嘉義縣"
"213"," 布袋鎮","23","375","10156","29664","15207","14457","100.12","嘉義縣"
"214"," 大林鎮","21","317","11276","33207","17045","16162","100.12","嘉義縣"
"215"," 民雄鄉","28","522","23146","72451","37173","35278","100.12","嘉義縣"
"216"," 溪口鄉","14","205","5390","16015","8554","7461","100.12","嘉義縣"
"217"," 新港鄉","23","380","10437","34231","18057","16174","100.12","嘉義縣"
"218"," 六腳鄉","25","328","9144","25903","13731","12172","100.12","嘉義縣"
"219"," 東石鄉","23","357","9505","27202","14449","12753","100.12","嘉義縣"
"220"," 義竹鄉","22","311","7476","20653","10727","9926","100.12","嘉義縣"
"221"," 鹿草鄉","15","255","5801","17022","9156","7866","100.12","嘉義縣"
"222"," 水上鄉","26","409","17448","51793","26711","25082","100.12","嘉義縣"
"223"," 中埔鄉","22","375","15539","47291","24663","22628","100.12","嘉義縣"
"224"," 竹崎鄉","24","407","11441","38179","20344","17835","100.12","嘉義縣"
"225"," 梅山鄉","18","200","6675","21171","11203","9968","100.12","嘉義縣"
"226"," 番路鄉","11","113","4077","11881","6476","5405","100.12","嘉義縣"
"227"," 大埔鄉","5","49","1927","4554","2402","2152","100.12","嘉義縣"
"228"," 阿里山鄉","12","78","2066","6157","3282","2875","100.12","嘉義縣"
