"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"111"," 民雄鄉",28,498,20152,71857,37242,34615,92.12,"嘉義縣"
"112"," 溪口鄉",14,205,4978,17490,9361,8129,92.12,"嘉義縣"
"113"," 新港鄉",23,380,9620,35969,19163,16806,92.12,"嘉義縣"
"114"," 六腳鄉",25,328,8616,28293,15089,13204,92.12,"嘉義縣"
"115"," 東石鄉",23,353,8596,29718,15916,13802,92.12,"嘉義縣"
"116"," 義竹鄉",22,311,7026,22667,11855,10812,92.12,"嘉義縣"
"117"," 鹿草鄉",15,255,5338,17827,9580,8247,92.12,"嘉義縣"
"118"," 水上鄉",26,409,16825,55483,29026,26457,92.12,"嘉義縣"
"119"," 中埔鄉",22,375,13524,48340,25429,22911,92.12,"嘉義縣"
"120"," 竹崎鄉",24,407,10608,40916,21905,19011,92.12,"嘉義縣"
"121"," 梅山鄉",18,200,5998,23128,12322,10806,92.12,"嘉義縣"
"122"," 番路鄉",11,112,3610,12037,6605,5432,92.12,"嘉義縣"
"123"," 大埔鄉",5,49,1420,3542,2010,1532,92.12,"嘉義縣"
"124"," 阿里山鄉",12,78,1928,6229,3382,2847,92.12,"嘉義縣"
"125"," 嘉義縣",357,5300,162699,557903,293894,264009,93.12,"嘉義縣"
"126"," 太保市",18,245,9511,34597,18124,16473,93.12,"嘉義縣"
"127"," 朴子市",27,403,12779,44057,22690,21367,93.12,"嘉義縣"
"128"," 布袋鎮",23,375,9696,32480,16975,15505,93.12,"嘉義縣"
"129"," 大林鎮",21,317,10777,35309,18380,16929,93.12,"嘉義縣"
"130"," 民雄鄉",28,498,20651,72451,37494,34957,93.12,"嘉義縣"
"131"," 溪口鄉",14,205,5073,17273,9246,8027,93.12,"嘉義縣"
"132"," 新港鄉",23,380,9778,35815,19041,16774,93.12,"嘉義縣"
"133"," 六腳鄉",25,328,8687,27939,14898,13041,93.12,"嘉義縣"
"134"," 東石鄉",23,353,8709,29399,15740,13659,93.12,"嘉義縣"
"135"," 義竹鄉",22,311,7034,22303,11669,10634,93.12,"嘉義縣"
"136"," 鹿草鄉",15,255,5408,17727,9550,8177,93.12,"嘉義縣"
"137"," 水上鄉",26,409,17045,55276,28905,26371,93.12,"嘉義縣"
"138"," 中埔鄉",22,375,13731,48157,25368,22789,93.12,"嘉義縣"
"139"," 竹崎鄉",24,407,10769,40576,21720,18856,93.12,"嘉義縣"
"140"," 梅山鄉",18,200,6051,22874,12188,10686,93.12,"嘉義縣"
"141"," 番路鄉",11,112,3633,11958,6542,5416,93.12,"嘉義縣"
"142"," 大埔鄉",5,49,1430,3524,2000,1524,93.12,"嘉義縣"
"143"," 阿里山鄉",12,78,1937,6188,3364,2824,93.12,"嘉義縣"
"144"," 嘉義縣",357,5304,164911,557101,292919,264182,94.12,"嘉義縣"
"145"," 太保市",18,245,9771,35066,18293,16773,94.12,"嘉義縣"
"146"," 朴子市",27,403,13218,44463,22867,21596,94.12,"嘉義縣"
"147"," 布袋鎮",23,375,9815,32274,16798,15476,94.12,"嘉義縣"
"148"," 大林鎮",21,317,10774,34938,18139,16799,94.12,"嘉義縣"
"149"," 民雄鄉",28,498,20984,72556,37478,35078,94.12,"嘉義縣"
"150"," 溪口鄉",14,205,5126,17371,9262,8109,94.12,"嘉義縣"
"151"," 新港鄉",23,380,9876,35724,18969,16755,94.12,"嘉義縣"
"152"," 六腳鄉",25,328,8764,27787,14793,12994,94.12,"嘉義縣"
"153"," 東石鄉",23,357,8952,29374,15694,13680,94.12,"嘉義縣"
"154"," 義竹鄉",22,311,7119,22407,11686,10721,94.12,"嘉義縣"
"155"," 鹿草鄉",15,255,5454,17661,9521,8140,94.12,"嘉義縣"
"156"," 水上鄉",26,409,16936,54533,28524,26009,94.12,"嘉義縣"
"157"," 中埔鄉",22,375,13959,48069,25298,22771,94.12,"嘉義縣"
"158"," 竹崎鄉",24,407,10876,40130,21487,18643,94.12,"嘉義縣"
"159"," 梅山鄉",18,200,6166,22778,12110,10668,94.12,"嘉義縣"
"160"," 番路鄉",11,112,3673,12051,6575,5476,94.12,"嘉義縣"
"161"," 大埔鄉",5,49,1509,3733,2076,1657,94.12,"嘉義縣"
"162"," 阿里山鄉",12,78,1939,6186,3349,2837,94.12,"嘉義縣"
"163"," 嘉義縣",357,5311,166879,553841,290855,262986,95.12,"嘉義縣"
"164"," 太保市",18,245,10060,35180,18340,16840,95.12,"嘉義縣"
"165"," 朴子市",27,403,13401,44329,22794,21535,95.12,"嘉義縣"
"166"," 布袋鎮",23,375,9809,31667,16452,15215,95.12,"嘉義縣"
"167"," 大林鎮",21,317,10814,34666,17934,16732,95.12,"嘉義縣"
"168"," 民雄鄉",28,505,21278,72836,37668,35168,95.12,"嘉義縣"
"169"," 溪口鄉",14,205,5159,17051,9110,7941,95.12,"嘉義縣"
"170"," 新港鄉",23,380,9970,35488,18797,16691,95.12,"嘉義縣"
"171"," 六腳鄉",25,328,8849,27645,14696,12949,95.12,"嘉義縣"
"172"," 東石鄉",23,357,9023,28978,15488,13490,95.12,"嘉義縣"
"173"," 義竹鄉",22,311,7166,22020,11489,10531,95.12,"嘉義縣"
"174"," 鹿草鄉",15,255,5488,17529,9418,8111,95.12,"嘉義縣"
"175"," 水上鄉",26,409,17026,54061,28231,25830,95.12,"嘉義縣"
"176"," 中埔鄉",22,375,14263,48219,25300,22919,95.12,"嘉義縣"
"177"," 竹崎鄉",24,407,10977,39721,21210,18511,95.12,"嘉義縣"
"178"," 梅山鄉",18,200,6251,22515,11984,10531,95.12,"嘉義縣"
"179"," 番路鄉",11,112,3694,11885,6504,5381,95.12,"嘉義縣"
"180"," 大埔鄉",5,49,1728,3900,2126,1774,95.12,"嘉義縣"
"181"," 阿里山鄉",12,78,1923,6151,3314,2837,95.12,"嘉義縣"
"182"," 嘉義縣",357,5319,168916,551345,289202,262143,96.12,"嘉義縣"
"183"," 太保市",18,250,10413,35669,18560,17109,96.12,"嘉義縣"
"184"," 朴子市",27,403,13568,44222,22748,21474,96.12,"嘉義縣"
"185"," 布袋鎮",23,375,9899,31372,16248,15124,96.12,"嘉義縣"
"186"," 大林鎮",21,317,10853,34382,17783,16599,96.12,"嘉義縣"
"187"," 民雄鄉",28,508,21598,72762,37574,35188,96.12,"嘉義縣"
"188"," 溪口鄉",14,205,5185,16812,8989,7823,96.12,"嘉義縣"
"189"," 新港鄉",23,380,10048,35363,18680,16683,96.12,"嘉義縣"
"190"," 六腳鄉",25,328,8911,27327,14520,12807,96.12,"嘉義縣"
"191"," 東石鄉",23,357,9115,28761,15340,13421,96.12,"嘉義縣"
"192"," 義竹鄉",22,311,7258,21880,11403,10477,96.12,"嘉義縣"
"193"," 鹿草鄉",15,255,5528,17512,9397,8115,96.12,"嘉義縣"
"194"," 水上鄉",26,409,17079,53498,27889,25609,96.12,"嘉義縣"
"195"," 中埔鄉",22,375,14519,48039,25188,22851,96.12,"嘉義縣"
"196"," 竹崎鄉",24,407,11034,39460,21087,18373,96.12,"嘉義縣"
